,course_name,course_category,course_subcategory,students_enrolled,course_difficulty,course_rating,course_rating_count
1863,Local Economic Development,Social Sciences,Economics,"15,585",Beginner Level,4.8,99 ratings
1864,"Logging, Monitoring and Observability in Google Cloud",Information Technology,Support and Operations,"31,427",Beginner Level,4.7,
1865,Logic for Economists,Math and Logic,Math and Logic,"27,022",Advanced Level,4.4,135 ratings
1866,Introduction to Logic,Math and Logic,Math and Logic,"66,308",Intermediate Level,4.5,565 ratings
1867,Think Again IV: How to Avoid Fallacies,Personal Development,Personal Development,"20,954",Beginner Level,4.6,222 ratings
1868,Logistic Regression in R for Public Health,Health,Public Health,"27,048",Approx. 12 hours to complete,4.8,
1869,Love as a Force for Social Justice,Arts and Humanities,Philosophy,"50,053",Beginner Level,4.7,243 ratings
1870,Low Poly Art For Video Games,Arts and Humanities,Music and Art,"20,868",Approx. 17 hours to complete,4.1,17 ratings
1871,Luther and the West,Arts and Humanities,Philosophy,"7,060",Approx. 22 hours to complete,4.6,83 ratings
1872,Lymphoedema: Monitoring & Intervention After Breast Cancer,Health,Patient Care,"1,906",Approx. 8 hours to complete,,
1873,Machine Design Part I,Physical Science and Engineering,Mechanical Engineering,"108,290",Intermediate Level,4.8,"1,556 ratings"
1874,Machine Learning,Data Science,Machine Learning,"8,725,699",Approx. 60 hours to complete,4.9,"149,002 ratings"
1875,Machine Learning for Accounting with Python,Data Science,Machine Learning,"11,412",Intermediate Level,,
1876,Big Data Applications: Machine Learning at Scale,Data Science,Machine Learning,"12,726",Advanced Level,3.8,84 ratings
1877,Introduction to Applied Machine Learning,Data Science,Machine Learning,"40,241",Intermediate Level,4.7,470 ratings
1878,Python and Machine-Learning for Asset Management with Alternative Data Sets,Business,Finance,"21,466",Approx. 19 hours to complete,4.4,
1879,Scalable Machine Learning on Big Data using Apache Spark,Data Science,Machine Learning,"47,191",Intermediate Level,3.9,987 ratings
1880,Machine Learning for Business Professionals,Data Science,Machine Learning,"133,802",Intermediate Level,4.6,"3,283 ratings"
1881,Machine Learning Algorithms: Supervised Learning Tip to Tail,Data Science,Machine Learning,"61,799",Approx. 9 hours to complete,4.7,185 ratings
1882,Introduction to Machine Learning,Data Science,Machine Learning,"166,047",Intermediate Level,4.6,913 ratings
1883,Practical Machine Learning on H2O,Data Science,Machine Learning,"12,222",Intermediate Level,4.5,
1884,Structuring Machine Learning Projects,Data Science,Data Analysis,"419,555",Beginner Level,4.8,"43,984 ratings"
1885,Machine Learning Using SAS Viya,Data Science,Machine Learning,"46,787",Intermediate Level,4.7,65 ratings
1886,Using Machine Learning in Trading and Finance,Data Science,Machine Learning,"29,715",Approx. 19 hours to complete,3.9,221 ratings
1887,"Machine Learning Under the Hood: The Technical Tips, Tricks, and Pitfalls",Data Science,Machine Learning,"11,675",Approx. 16 hours to complete,4.8,24 ratings
1888,Machine Learning with Python,Data Science,Machine Learning,"740,512",Approx. 22 hours to complete,4.7,
1889,Machine Translation,Data Science,Machine Learning,"28,077",Intermediate Level,5.0,
1890,"Country Level Economics: Policies, Institutions, and Macroeconomic Performance",Business,Finance,"38,652",Beginner Level,4.5,541 ratings
1891,Fundamentals of Macroscopic and Microscopic Thermodynamics,Physical Science and Engineering,Mechanical Engineering,"30,681",Advanced Level,4.2,166 ratings
1892,Management of Fashion and Luxury Companies,Business,Leadership and Management,"235,317",Approx. 11 hours to complete,4.7,"3,706 ratings"
1893,Magic in the Middle Ages,Arts and Humanities,History,"89,694",Beginner Level,4.6,
1894,Magna Carta and its Legacies: Freedom and protest,Arts and Humanities,History,"17,125",Beginner Level,4.4,26 ratings
1895,Magnetics for Power Electronic Converters,Physical Science and Engineering,Electrical Engineering,"46,955",Approx. 17 hours to complete,,
1896,Major Engineering Project Performance,Physical Science and Engineering,Mechanical Engineering,"65,315",Approx. 19 hours to complete,4.7,529 ratings
1897,"Major Engineering Projects: Governance, Risk and Scope",Physical Science and Engineering,Mechanical Engineering,"27,075",Approx. 24 hours to complete,4.7,
1898,Major and Principal Gifts,Business,Business Strategy,"7,407",Beginner Level,4.5,11 ratings
1899,How to Make a Comic Book (Project-Centered Course),Arts and Humanities,Music and Art,"43,757",Approx. 15 hours to complete,4.6,184 ratings
1900,Making Architecture,Arts and Humanities,Music and Art,"145,886",Beginner Level,4.8,747 ratings
1901,The Making of the US President: A Short History in Five Elections,Arts and Humanities,History,"2,394",Beginner Level,4.5,37 ratings
1902,Making Your First Virtual Reality Game,Computer Science,Design and Product,"29,590",Intermediate Level,4.4,
1903,"""Making"" Progress Teach-Out",Social Sciences,Governance and Society,"1,567",Beginner Level,4.2,5 ratings
1904,Malicious Software and its Underground Economy: Two Sides to Every Story,Computer Science,Software Development,0,Approx. 12 hours to complete,,
1905,Mind Control: Managing Your Mental Health During COVID-19,Health,Psychology,"387,446",Beginner Level,4.8,
1906,Understanding and Managing the Stresses of Police Work,Health,Psychology,"2,620",Beginner Level,,
1907,Management and financial accounting: Know your numbers 1,Business,Business Essentials,"24,305",Beginner Level,4.7,152 ratings
1908,Management Fundamentals,Business,Leadership and Management,"13,104",Beginner Level,4.7,
1909,Business English: Management and Leadership,Language Learning,Learning English,"241,222",Intermediate Level,4.8,833 ratings
1910,On Strategy : What Managers Can Learn from Philosophy - PART 1,Business,Leadership and Management,"11,849",Approx. 13 hours to complete,4.7,434 ratings
1911,Management Skills for International Business,Business,Leadership and Management,"71,025",Approx. 18 hours to complete,4.7,417 ratings
1912,Translation quality management,Business,Leadership and Management,"44,709",Beginner Level,4.3,60 ratings
1913,Managerial Accounting: Tools for Facilitating and Guiding Business Decisions,Business,Finance,"38,133",Approx. 24 hours to complete,4.7,482 ratings
1914,Managerial Economics and Business Analysis Capstone,Business,Business Essentials,"10,232",Beginner Level,4.7,
1915,"Managing ADHD, Autism, Learning Disabilities, and Concussion in School",Health,Patient Care,"43,176",Approx. 9 hours to complete,4.8,
1916,Managing as a Coach,Business,Leadership and Management,"54,183",Approx. 13 hours to complete,4.7,997 ratings
1917,"Managing Asthma, Allergies, Diabetes, and Seizures in School",Health,Patient Care,"40,824",Beginner Level,4.8,345 ratings
1918,Managing Change when Moving to Google Cloud,Information Technology,Cloud Computing,"3,943",Beginner Level,4.8,26 ratings
1919,Managing Cybersecurity Incidents and Disasters,Information Technology,Security,"18,910",Beginner Level,4.8,32 ratings
1920,Managing Data Analysis,Business,Leadership and Management,"69,366",Approx. 9 hours to complete,4.6,"2,854 ratings"
1921,"Managing, Describing, and Analyzing Data",Data Science,Probability and Statistics,"8,383",Approx. 11 hours to complete,,
1922, Managing G Suite,Computer Science,Computer Security and Networks,"55,617",Beginner Level,4.7,629 ratings
1923,Preparing to Manage Human Resources,Business,Leadership and Management,"723,838",Approx. 17 hours to complete,4.8,"5,385 ratings"
1924,التحضير لإدارة الموارد البشرية,Business,Leadership and Management,"18,064",Approx. 17 hours to complete,4.8,103 ratings
1925,Managing Network Security,Information Technology,Security,"40,641",Beginner Level,4.7,48 ratings
1926,Managing the Organization,Business,Leadership and Management,"82,670",Approx. 12 hours to complete,4.7,
1927,Organizational Behavior: How to Manage People,Business,Leadership and Management,"97,541",Approx. 14 hours to complete,4.7,642 ratings
1928,Managing Security in Google Cloud Platform,Information Technology,Cloud Computing,"30,222",Intermediate Level,4.7,
1929,Managing Talent,Business,Leadership and Management,"163,404",Approx. 11 hours to complete,4.5,
1930,Management of Urban Infrastructures – part 1,Business,Leadership and Management,"26,974",Approx. 12 hours to complete,4.6,583 ratings
1931,Managing Your Money: MBA Insights for Undergraduates,Business,Finance,"40,549",Approx. 11 hours to complete,4.5,
1932,Mandarin Chinese 1: Chinese for Beginners,Language Learning,Other Languages,"120,383",Beginner Level,4.8,
1933,Mandarin Chinese 2: Chinese for Beginners,Language Learning,Other Languages,"34,869",Beginner Level,4.8,357 ratings
1934,Mandarin Chinese 3: Chinese for Beginners,Language Learning,Other Languages,"29,378",Beginner Level,4.9,274 ratings
1935,Mandarin Chinese for Intermediate Learners: Capstone Project,Language Learning,Other Languages,"4,600",Intermediate Level,,
1936,Manufacturing Process with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,"66,539",Advanced Level,4.7,375 ratings
1937,The Power of Markets III: Input Markets and Promoting Efficiency,Business,Business Essentials,"3,051",Approx. 8 hours to complete,4.8,35 ratings
1938,The Power of Markets I: The Basics of Supply and Demand and Consumer Behavior ,Business,Business Essentials,"11,537",Approx. 7 hours to complete,4.6,196 ratings
1939,The Power of Markets II: Market Structure and Firm Behavior,Business,Business Essentials,"4,380",Approx. 8 hours to complete,4.7,101 ratings
1940,Marketing in an Analog World,Business,Marketing,"245,928",Beginner Level,4.7,720 ratings
1941,Marketing analytics: Know your customers,Business,Marketing,"26,117",Beginner Level,4.7,148 ratings
1942,Marketing Analytics Capstone Project,Business,Marketing,"2,003",Approx. 11 hours to complete,4.1,10 ratings
1943,Digital Media and Marketing Principles,Business,Marketing,"285,170",Approx. 20 hours to complete,4.3,"2,145 ratings"
1944,Marketing: Customer Needs and Wants,Business,Business Strategy,"41,793",Approx. 9 hours to complete,4.4,288 ratings
1945,Marketing in a Digital World,Business,Marketing,"1,530,130",Beginner Level,4.7,"12,382 ratings"
1946,التسويق في عالم رقمي,Business,Marketing,"8,873",Beginner Level,4.6,
1947,Marketing Management I,Business,Marketing,"119,732",Approx. 12 hours to complete,4.8,"1,080 ratings"
1948,Marketing Management II,Business,Marketing,"106,421",Approx. 15 hours to complete,4.8,
1949,Marketing Mix Fundamentals,Business,Marketing,"72,546",Beginner Level,4.6,
1950,Marketing Mix Implementation Capstone ,Business,Marketing,"9,637",Intermediate Level,4.6,68 ratings
1951,Digital Media and Marketing Strategies,Business,Marketing,"308,462",Approx. 17 hours to complete,4.5,
1952,Marketing Strategy Capstone Project,Business,Marketing,"22,829",Beginner Level,4.7,
1953,Research Report: Delivering Insights,Business,Marketing,"15,733",Approx. 14 hours to complete,4.5,105 ratings
1954,Business English: Marketing and Sales,Language Learning,Learning English,"134,468",Intermediate Level,4.7,420 ratings
1955,Marketing Strategy for Entrepreneurs,Business,Marketing,"23,949",Intermediate Level,4.4,
1956,The Marketing Plan,Business,Marketing,"44,291",Approx. 17 hours to complete,4.6,
1957,Mastering bitumen for better roads and innovative applications,Physical Science and Engineering,Chemistry,"42,587",Intermediate Level,4.7,923 ratings
1958,Mastering Digital Twins,Information Technology,Data Management,"5,946",Beginner Level,4.1,189 ratings
1959,Mastering Final Cut Pro,Business,Business Essentials,"40,625",Approx. 39 hours to complete,4.5,
1960,Mastering Statics,Physical Science and Engineering,Mechanical Engineering,"20,494",Approx. 21 hours to complete,4.7,
1961,Mastering Web3 with Waves,Computer Science,Mobile and Web Development,"4,318",Beginner Level,,
1962,Material Behavior,Physical Science and Engineering,Mechanical Engineering,"91,239",Approx. 25 hours to complete,4.7,939 ratings
1963,Materials Data Sciences and Informatics,Physical Science and Engineering,Chemistry,"18,607",Intermediate Level,4.4,226 ratings
1964,Material Processing,Physical Science and Engineering,Mechanical Engineering,"37,378",Approx. 12 hours to complete,4.8,729 ratings
1965,Materials in Oral Health,Health,Basic Science,"18,545",Approx. 15 hours to complete,4.6,267 ratings
1966,Materials Science: 10 Things Every Engineer Should Know,Physical Science and Engineering,Mechanical Engineering,"136,702",Approx. 9 hours to complete,4.7,
1967,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",Physical Science and Engineering,Mechanical Engineering,"23,316",Intermediate Level,4.8,648 ratings
1968,Mathematical Foundations for Cryptography,Computer Science,Computer Security and Networks,"25,243",Beginner Level,4.6,213 ratings
1969,Mathematical Game Theory,Math and Logic,Math and Logic,"4,230",Approx. 14 hours to complete,,13 ratings
1970,Introduction to Mathematical Thinking,Math and Logic,Math and Logic,"220,543",Intermediate Level,4.8,
1971,Mathematics for Computer Science,Math and Logic,Math and Logic,"60,502",Beginner Level,4.2,118 ratings
1972,Mathematics for economists,Math and Logic,Math and Logic,"39,648",Intermediate Level,4.2,
1973,Math behind Moneyball,Data Science,Data Analysis,"22,754",Beginner Level,4.5,78 ratings
1974,Introduction to Programming with MATLAB,Computer Science,Software Development,"908,646",Beginner Level,4.8,
1975,Data Science Project: MATLAB for the Real World,Data Science,Data Analysis,"2,567",Intermediate Level,,
1976,"Introduction to Data, Signal, and Image Analysis with MATLAB",Data Science,Data Analysis,"51,564",Intermediate Level,4.8,
1977,Matrix Algebra for Engineers,Math and Logic,Math and Logic,"198,063",Beginner Level,4.8,
1978,Matrix Factorization and Advanced Techniques,Data Science,Machine Learning,"8,480",Approx. 16 hours to complete,4.3,
1979,Matrix Methods,Math and Logic,Math and Logic,"16,787",Intermediate Level,4.2,
1980,MBSE: Model-Based Systems Engineering ,Physical Science and Engineering,Mechanical Engineering,"47,904",Beginner Level,4.5,
1981,Bayesian Statistics: Techniques and Models,Data Science,Probability and Statistics,"79,802",Intermediate Level,4.8,359 ratings
1982,Meaningful Marketing Insights,Business,Marketing,"30,562",Intermediate Level,4.2,
1983,Meaningful Predictive Modeling,Data Science,Data Analysis,"6,195",Intermediate Level,4.2,31 ratings
1984,Measure and Optimize Social Media Marketing Campaigns,Business,Marketing,"4,880",Approx. 1 hour to complete,,
1985,Measuring and Maximizing Impact of COVID-19 Contact Tracing,Health,Public Health,"190,971",Approx. 3 hours to complete,4.4,523 ratings
1986,Measuring Disease in Epidemiology,Health,Public Health,"50,640",Approx. 10 hours to complete,4.7,418 ratings
1987,The Meat We Eat,Physical Science and Engineering,Environmental Science and Sustainability,"26,928",Approx. 14 hours to complete,4.7,109 ratings
1988,Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,Physical Science and Engineering,Mechanical Engineering,"221,333",Intermediate Level,4.8,
1989,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,Physical Science and Engineering,Mechanical Engineering,"142,633",Approx. 18 hours to complete,4.8,
1990,"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets",Physical Science and Engineering,Physics and Astronomy,"66,876",Beginner Level,4.6,
1991,Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,Physical Science and Engineering,Mechanical Engineering,"29,397",Approx. 9 hours to complete,4.8,831 ratings
1992,English for Media Literacy,Language Learning,Learning English,"105,146",Approx. 42 hours to complete,4.9,"1,415 ratings"
1993,Media ethics & governance,Social Sciences,Governance and Society,"31,534",Intermediate Level,4.8,304 ratings
1994,Medical Applications of Particle Accelerators (NPAP MOOC),Health,Research,"18,900",Beginner Level,4.6,124 ratings
1995,Medical Cannabis for Pain Control ,Health,Patient Care,"23,420",Beginner Level,4.5,91 ratings
1996,"Medical Emergencies: Airway, Breathing, and Circulation",Health,Patient Care,"96,662",Beginner Level,4.8,
1997,"Medical Emergencies: CPR, Toxicology, and Wilderness",Health,Patient Care,"43,118",Beginner Level,4.8,235 ratings
1998,Medical Neuroscience,Health,Research,"431,825",Advanced Level,4.9,"1,937 ratings"
1999,Understanding Medical Research: Your Facebook Friend is Wrong,Health,Research,"135,908",Approx. 16 hours to complete,4.9,693 ratings
2000,The Cosmopolitan Medieval Arabic World,Arts and Humanities,History,"21,791",Beginner Level,4.8,
2001,Deciphering Secrets: The Illuminated Manuscripts of Medieval Europe,Arts and Humanities,History,"18,068",Beginner Level,4.6,105 ratings
2002,Meeting Investors' Goals,Business,Finance,"70,800",Approx. 9 hours to complete,4.8,
2003,Approaching Music Theory: Melodic Forms and Simple Harmony,Arts and Humanities,Music and Art,"55,933",Approx. 22 hours to complete,4.7,
2004,Memoir and Personal Essay: Managing Your Relationship with the Reader,Arts and Humanities,Music and Art,"22,584",Beginner Level,4.3,
2005,Understanding Memory: Explaining the Psychology of Memory through Movies,Health,Psychology,"43,340",Approx. 9 hours to complete,4.7,
2006,The Social Context of Mental Health and Illness,Social Sciences,Governance and Society,"47,451",Approx. 14 hours to complete,4.6,245 ratings
2007,"Cannabis, Mental Health, and Brain Disorders",Health,Public Health,"15,543",Approx. 15 hours to complete,4.8,
2008,Mergers and Acquisitions – The Relentless Pursuit of Synergy,Business,Finance,"27,767",Intermediate Level,4.2,65 ratings
2009,The Merkle Tree and Cryptocurrencies,Computer Science,Algorithms,"3,401",Beginner Level,,13 ratings
2010,Metagenomics applied to surveillance of pathogens and antimicrobial resistance,Health,Basic Science,"25,891",Approx. 15 hours to complete,4.7,165 ratings
2011,Metaliteracy: Empowering Yourself in a Connected World,Personal Development,Personal Development,"2,330",Beginner Level,4.2,
2012,Introduction to Meteor.js Development  ,Computer Science,Mobile and Web Development,"43,680",Approx. 26 hours to complete,4.6,"1,119 ratings"
2013,Methods of Surface Analysis,Physical Science and Engineering,Research Methods,"15,214",Intermediate Level,4.8,101 ratings
2014,Michigan Sport-Related Concussion Training Certification ,Health,Public Health,"12,782",Beginner Level,4.8,
2015,Gut Check: Exploring Your Microbiome,Health,Basic Science,"87,723",Approx. 14 hours to complete,4.7,
2016,Microeconomics Principles,Social Sciences,Economics,"202,505",Approx. 27 hours to complete,4.8,
2017,Microeconomics: The Power of Markets,Social Sciences,Economics,"44,976",Approx. 15 hours to complete,4.7,934 ratings
2018,Microeconomics: When Markets Fail,Social Sciences,Economics,"15,127",Approx. 12 hours to complete,4.8,423 ratings
2019,Transmission electron microscopy for materials science,Physical Science and Engineering,Physics and Astronomy,"41,760",Approx. 46 hours to complete,4.5,
2020,Migrating to Google Cloud,Information Technology,Cloud Computing,"20,094",Beginner Level,4.7,37 ratings
2021,What is “the mind” and what is artificial intelligence?,Computer Science,Algorithms,"18,241",Beginner Level,4.6,
2022,Computational Vision,Computer Science,Algorithms,"5,417",Beginner Level,,
2023,"Interpersonal, Developmental, and Evolutionary Perspectives of the Mind",Computer Science,Algorithms,"4,565",Beginner Level,4.0,
2024,Methods for Solving Problems,Computer Science,Algorithms,"7,380",Beginner Level,4.5,46 ratings
2025,Mind of the Universe - Genetic Privacy: should we be concerned?,Arts and Humanities,Philosophy,0,Beginner Level,4.1,14 ratings
2026,Mind of the Universe: Science in Progress,Arts and Humanities,Philosophy,"3,385",Beginner Level,4.6,11 ratings
2027,De-Mystifying Mindfulness,Personal Development,Personal Development,"173,323",Beginner Level,4.8,"1,280 ratings"
2028,Mindfulness in Integrative Healthcare,Health,Research,"23,324",Approx. 10 hours to complete,4.9,
2029,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Personal Development,Personal Development,"391,786",Beginner Level,4.8,
2030,Mindware: Critical Thinking for the Information Age ,Health,Psychology,"76,101",Beginner Level,4.8,811 ratings
2031,Foundations of mining non-structured medical data,Data Science,Data Analysis,"2,901",Beginner Level,4.1,18 ratings
2032,Dealing With Missing Data,Data Science,Data Analysis,"8,534",Approx. 18 hours to complete,3.7,102 ratings
2033,Mitigating Security Vulnerabilities on Google Cloud Platform,Information Technology,Cloud Computing,"17,636",Intermediate Level,4.7,
2034,Bayesian Statistics: Mixture Models,Data Science,Data Analysis,"16,150",Advanced Level,,9 ratings
2035,Machine Learning: Classification,Data Science,Machine Learning,"150,864",Approx. 21 hours to complete,4.7,"3,429 ratings"
2036,Machine Learning: Clustering & Retrieval,Data Science,Data Analysis,"100,936",Approx. 17 hours to complete,4.6,
2037,Machine Learning Foundations: A Case Study Approach,Data Science,Machine Learning,"635,914",Approx. 18 hours to complete,4.6,"11,632 ratings"
2038,Machine Learning: Regression,Data Science,Machine Learning,"204,963",Approx. 22 hours to complete,4.8,"5,147 ratings"
2039,The Development of Mobile Health Monitoring Systems,Computer Science,Design and Product,"11,272",Approx. 21 hours to complete,,15 ratings
2040,Mobile Interaction Design: How to Design Usable Mobile Products and Services,Computer Science,Design and Product,"16,686",Intermediate Level,,13 ratings
2041,Mobile VR App Development with Unity ,Computer Science,Mobile and Web Development,"22,433",Intermediate Level,3.8,27 ratings
2042,Model Thinking,Social Sciences,Economics,"121,576",Approx. 27 hours to complete,4.8,
2043,Modeling and Debugging Embedded Systems,Computer Science,Design and Product,"12,621",Intermediate Level,4.6,116 ratings
2044,Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,"97,792",Advanced Level,4.8,658 ratings
2045,Simulation and modeling of natural processes,Physical Science and Engineering,Research Methods,"51,784",Approx. 23 hours to complete,4.2,
2046,Models & Frameworks to Support Sales Planning ,Business,Business Strategy,"8,692",Intermediate Level,4.5,38 ratings
2047,Modern American Poetry,Arts and Humanities,Music and Art,"17,645",Beginner Level,4.5,63 ratings
2048,Modern Art & Ideas,Arts and Humanities,Music and Art,"316,706",Beginner Level,4.8,"4,805 ratings"
2049,The Emergence of the Modern Middle East - Part I,Arts and Humanities,History,"31,816",Approx. 7 hours to complete,4.7,930 ratings
2050,The Emergence of the Modern Middle East - Part II,Arts and Humanities,History,"14,129",Approx. 11 hours to complete,4.8,403 ratings
2051,The Modern and the Postmodern (Part 1),Arts and Humanities,Philosophy,"68,323",Approx. 11 hours to complete,4.8,798 ratings
2052,The Modern and the Postmodern (Part 2),Arts and Humanities,History,"22,066",Approx. 14 hours to complete,4.7,295 ratings
2053,"The Modern World, Part One: Global History from 1760 to 1910",Arts and Humanities,History,"119,153",Beginner Level,4.8,"2,046 ratings"
2054,"The Modern World, Part Two: Global History since 1910",Arts and Humanities,History,"52,470",Beginner Level,4.8,"1,067 ratings"
2055,"Modern Robotics, Course 1:  Foundations of Robot Motion",Physical Science and Engineering,Mechanical Engineering,"80,968",Intermediate Level,4.7,
2056,"Modern Robotics, Course 2:  Robot Kinematics",Physical Science and Engineering,Mechanical Engineering,"23,665",Intermediate Level,4.9,
2057,"Modern Robotics, Course 3:  Robot Dynamics",Physical Science and Engineering,Mechanical Engineering,"13,411",Intermediate Level,4.7,103 ratings
2058,"Modern Robotics, Course 4:  Robot Motion Planning and Control",Physical Science and Engineering,Mechanical Engineering,"18,462",Intermediate Level,4.9,71 ratings
2059,"Modern Robotics, Course 5:  Robot Manipulation and Wheeled Mobile Robots ",Physical Science and Engineering,Mechanical Engineering,"17,619",Intermediate Level,,
2060,"Modern Robotics, Course 6:  Capstone Project, Mobile Manipulation",Physical Science and Engineering,Mechanical Engineering,"5,849",Intermediate Level,4.9,30 ratings
2061,Modern & Contemporary American Poetry (“ModPo”),Arts and Humanities,Music and Art,"304,365",Beginner Level,4.9,290 ratings
2062,Jacobi modular forms: 30 ans après,Math and Logic,Math and Logic,"3,969",Advanced Level,,14 ratings
2063,Molecular Evolution (Bioinformatics IV),Health,Health Informatics,"11,170",Beginner Level,4.6,66 ratings
2064,Monetary Policy in the Asia Pacific,Social Sciences,Economics,"8,958",Intermediate Level,4.8,123 ratings
2065,Economics of Money and Banking,Social Sciences,Economics,"114,927",Approx. 33 hours to complete,4.9,"1,074 ratings"
2066,MongoDB Aggregation Framework,Data Science,Data Analysis,"12,574",Intermediate Level,4.6,36 ratings
2067,Moral Foundations of Politics ,Social Sciences,Governance and Society,"367,750",Approx. 45 hours to complete,4.9,"3,552 ratings"
2068,Moralities of Everyday Life,Health,Psychology,"129,842",Approx. 24 hours to complete,4.8,"2,443 ratings"
2069,More Chinese for Beginners,Language Learning,Other Languages,"66,403",Approx. 26 hours to complete,4.7,681 ratings
2070,More C# Programming and Unity,Computer Science,Software Development,"49,930",Intermediate Level,4.8,
2071,Moses' Face: Moses' images as reflected in Jewish literature,Arts and Humanities,History,"3,512",Approx. 44 hours to complete,4.8,
2072,MOS Transistors,Physical Science and Engineering,Electrical Engineering,"15,351",Approx. 18 hours to complete,4.6,136 ratings
2073,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,Physical Science and Engineering,Mechanical Engineering,"12,940",Approx. 18 hours to complete,4.8,
2074,Motion Planning for Self-Driving Cars,Computer Science,Software Development,"76,992",Advanced Level,4.8,278 ratings
2075,Motivating Gen Z Learners: What Parents and Teachers Need to Know,Social Sciences,Education,"29,032",Beginner Level,,13 ratings
2076,Inspiring and Motivating Individuals,Business,Leadership and Management,"362,521",Approx. 12 hours to complete,4.8,"3,776 ratings"
2077,Motivational Enhancement Techniques: Working with Patients with Opioid & Substance Use Disorders or High Risk Use MAT Waiver Training Supplemental Course,Health,Patient Care,"5,944",Intermediate Level,4.3,
2078,Motors and Motor Control Circuits,Physical Science and Engineering,Electrical Engineering,"70,623",Intermediate Level,4.6,599 ratings
2079,Mountains 101,Physical Science and Engineering,Environmental Science and Sustainability,"115,870",Approx. 18 hours to complete,4.9,"1,727 ratings"
2080,MRI Fundamentals,Health,Research,"20,920",Intermediate Level,4.6,
2081,Multi-Axis CNC Toolpaths,Physical Science and Engineering,Mechanical Engineering,"20,963",Advanced Level,4.9,79 ratings
2082,Introduction to Multilingual and Multicultural Education,Arts and Humanities,History,"13,079",Beginner Level,4.4,63 ratings
2083,Multimodal Literacies: Communication and Learning in the Era of Digital Media ,Social Sciences,Education,"131,659",Approx. 23 hours to complete,4.7,77 ratings
2084,Multiple Regression Analysis in Public Health ,Health,Health Informatics,"19,551",Approx. 14 hours to complete,4.7,161 ratings
2085,Mathematics for Machine Learning: Multivariate Calculus,Math and Logic,Math and Logic,"345,083",Beginner Level,4.7,"3,971 ratings"
2086,Music and Social Action,Arts and Humanities,Music and Art,"16,463",Approx. 26 hours to complete,4.7,133 ratings
2087,Music as Biology: What We Like to Hear and Why,Health,Basic Science,"35,353",Approx. 16 hours to complete,4.3,564 ratings
2088,Music Business Foundations,Arts and Humanities,Music and Art,"70,045",Approx. 12 hours to complete,4.9,"1,838 ratings"
2089,The Place of Music in 21st Century Education,Arts and Humanities,Music and Art,"6,299",Beginner Level,4.8,53 ratings
2090,Fundamentals of Rehearsing Music Ensembles,Arts and Humanities,Music and Art,"10,513",Approx. 22 hours to complete,4.8,310 ratings
2091,Music for Wellness,Arts and Humanities,Music and Art,"10,119",Beginner Level,,
2092,Today’s Music Industry,Business,Business Strategy,"9,082",Approx. 15 hours to complete,4.7,82 ratings
2093,How Music Can Change Your Life,Arts and Humanities,Music and Art,"15,753",Beginner Level,4.7,132 ratings
2094,Music Production Capstone,Arts and Humanities,Music and Art,"14,405",Approx. 10 hours to complete,4.8,
2095,Creating Sounds for Electronic Music,Arts and Humanities,Music and Art,"23,764",Approx. 13 hours to complete,4.7,220 ratings
2096,Getting Started With Music Theory,Arts and Humanities,Music and Art,"78,343",Beginner Level,4.5,546 ratings
2097,Understanding the Music Business: What is Music Worth?,Arts and Humanities,Music and Art,"8,095",Approx. 17 hours to complete,4.5,
2098,"Musicianship: Chord Charts, Diatonic Chords, and Minor Keys",Arts and Humanities,Music and Art,"42,211",Approx. 13 hours to complete,4.9,450 ratings
2099,Developing Your Musicianship: Final Project,Arts and Humanities,Music and Art,"5,784",Approx. 9 hours to complete,4.9,89 ratings
2100,"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Arts and Humanities,Music and Art,"28,754",Approx. 11 hours to complete,4.9,331 ratings
2101,Constitutional Struggles in the Muslim World,Social Sciences,Law,"21,461",Approx. 40 hours to complete,4.8,
2102,My Favorite Lectures @ HKUST ,Social Sciences,Education,0,Beginner Level,,
2103,Greek and Roman Mythology,Arts and Humanities,Philosophy,"125,966",Approx. 24 hours to complete,4.8,
2104,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Computer Science,Software Development,"80,475",Approx. 90 hours to complete,5.0,336 ratings
2105,Nanophotonics and Detectors,Physical Science and Engineering,Electrical Engineering,"9,009",Advanced Level,4.0,14 ratings
2106,Nanotechnology: A Maker’s Course,Physical Science and Engineering,Electrical Engineering,"186,304",Approx. 26 hours to complete,4.8,"1,772 ratings"
2107,"Nanotechnology and Nanosensors, Part1",Physical Science and Engineering,Chemistry,"64,095",Approx. 12 hours to complete,4.6,861 ratings
2108,"Nanotechnology and Nanosensors, Part 2",Physical Science and Engineering,Chemistry,"21,325",Approx. 17 hours to complete,4.7,159 ratings
